date,balance,non-trade,cumm_pnl,daily_return,cumm_returns*
2019-08-01,100000.0,100000.0,0.0,0.0,0.0
2019-08-02,100685.95,100000.0,685.95,0.68595,0.68595
2019-08-03,100685.95,100000.0,685.95,0.0,0.68595
2019-08-04,100685.95,100000.0,685.95,0.0,0.68595
2019-08-05,107895.78,100000.0,7895.78,7.16071,7.84666
2019-08-06,105842.63,100000.0,5842.63,-1.9029,5.94376
2019-08-07,105842.63,100000.0,5842.63,0.0,5.94376
2019-08-08,107804.05,100000.0,7804.05,1.85315,7.79691
2019-08-09,107903.56,100000.0,7903.56,0.09231,7.88921
2019-08-10,107903.56,100000.0,7903.56,0.0,7.88921
2019-08-11,107903.56,100000.0,7903.56,0.0,7.88921
2019-08-12,107009.32,100000.0,7009.32,-0.82874,7.06047
2019-08-13,107009.32,100000.0,7009.32,0.0,7.06047
2019-08-14,108635.34,100000.0,8635.34,1.51951,8.57999
2019-08-15,109783.59,100000.0,9783.59,1.05698,9.63696
2019-08-16,108008.8,100000.0,8008.8,-1.61663,8.02034
2019-08-17,108008.8,100000.0,8008.8,0.0,8.02034
2019-08-18,108008.8,100000.0,8008.8,0.0,8.02034
2019-08-19,107231.52,100000.0,7231.52,-0.71965,7.30069
2019-08-20,107231.52,100000.0,7231.52,0.0,7.30069
2019-08-21,106553.86,100000.0,6553.86,-0.63196,6.66873
2019-08-22,106960.52,100000.0,6960.52,0.38165,7.05038
2019-08-23,106960.52,100000.0,6960.52,0.0,7.05038
2019-08-24,106960.52,100000.0,6960.52,0.0,7.05038
2019-08-25,106960.52,100000.0,6960.52,0.0,7.05038
2019-08-26,105440.81,100000.0,5440.81,-1.42081,5.62957
2019-08-27,104815.08,100000.0,4815.08,-0.59344,5.03612
2019-08-28,104815.08,100000.0,4815.08,0.0,5.03612
2019-08-29,106473.66,100000.0,6473.66,1.58239,6.61851
2019-08-30,106473.68,100000.0,6473.68,0.00002,6.61853
2019-08-31,106473.68,100000.0,6473.68,0.0,6.61853
2019-09-01,106473.68,100000.0,6473.68,0.0,6.61853
2019-09-02,105286.64,100000.0,5286.64,-1.11487,5.50366
2019-09-03,108854.17,100000.0,8854.17,3.3884,8.89206
2019-09-04,108691.12,100000.0,8691.12,-0.14979,8.74227
2019-09-05,110302.14,100000.0,10302.14,1.4822,10.22447
2019-09-06,106380.72,100000.0,6380.72,-3.55516,6.66931
2019-09-07,106380.72,100000.0,6380.72,0.0,6.66931
2019-09-08,106380.72,100000.0,6380.72,0.0,6.66931
2019-09-09,106511.5,100000.0,6511.5,0.12294,6.79225
